"group_id","lang_code","alt_name"
"aeddb39d-3944-44d4-bc17-a2298421bfb5","en","Blue Bird"
"96ff321a-44b9-4722-b542-f79d0c73898c","en","Unreliable Translator L..."
"491b2758-0992-4c58-8ee6-311b77a9232c","en","If only I had a group..."
"3fbce7cb-7bc8-4864-af84-e5ad287fe0f9","en","Ichino Fansub"
"e2ffaa79-1bef-4b7d-b382-a2b98221a310","en","Leviatan Scan"
"4cb1c460-b513-4d90-8733-e4f0cdfd9681","en","PSYN"
"4cb1c460-b513-4d90-8733-e4f0cdfd9681","en","PSYN team"
"76e3e5b1-37e0-4f09-9309-94b3f6627aa6","en","Godspeed Scanlation"
"e6a6dc34-968b-4e61-a6ca-4916db0326f4","en","Darjeeling Scans"
"4bf62eb9-06ef-4049-a3a8-6afd553a5430","en","SHINOBU-CHAN"
"024c3e65-622e-4da1-addb-42ea14a1b694","en","LemonadeScans"
"8686a408-cf50-4fa4-8c17-62c0915274bc","en","The Avengers"
"bcee77b4-030e-4abd-8ddc-ae68f9fc7411","en","Umango"
"57e2e40e-94c1-4b84-aa75-ef34a0d325ad","en","Gardens of Babylon -"
"eb4d16e8-7d12-47dc-960d-8643eba0f17f","en","Champion Scans"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","Manga+"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","M+"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","Manga Plus"
"05504d25-86dc-4d82-a2e7-662380c30670","en","Mythical Phoenix Scanlations"
"641b2d23-a4cb-4896-a5c6-11c8fbb3c4fd","en","WoC Scans"
"8bce4e51-d470-4291-bca9-43209079530b","en","WiP"
"30e67518-dba9-433d-ba59-e5acf1a7c931","en","The Comics Journal"
"5fc97d48-1cf5-4e6f-9581-37ac9ec48ace","en","Ryuu"
"0fbadf66-6a3f-4e3e-bb19-73cf4050499e","en","Everyone's City - Fan Scan"
"973471ab-19bd-45e9-8788-b2323ac62ede","en","Web Comic"
"aa9cd17f-9962-43a7-91b8-b054cedfe816","en","hana*TSU"
"c5d848bc-e3dd-43b0-b77b-99c8998aa145","en","swe3t+moans BL Scanslation"
"ac649193-bf1a-43ea-962f-844ed6093e68","en","TheDragonBallGuy75"
"f4a67438-25a3-46c3-8b09-a4f8b374d757","en","NilaiTP Scan"
"70607404-c6c9-4467-b372-b174bb6097ad","en",""
"2107e3bf-32ef-409b-940e-79c6019fd6be","en","Avancier Scans"
"00127471-714e-4d15-a539-5487e622c5e6","en","moonlune"
"ff2c2fff-612b-4497-8bd5-dea4741c8afc","en","Central Park Media (Ex-Licenses)"
"cea919da-f743-44f9-b7a4-3616a853a3db","en","Detectiveconanforever"
"c328c5ce-dd6a-4b44-84a5-0b04955d13f4","en","Alley Cats Scan"
"ffbeb262-d9e4-4c6d-8b2a-632743854ded","en","Fanged Scans"
"0e265fab-55f5-43de-8b38-aa874e06e43c","en","Suzaku The Knight"
"96f98b7e-cf02-4a39-9c09-e33da9e3035e","en","Magi Scans"
"938b7e31-2f23-471d-aa33-5fd104da54ee","en","HZD Scans"
"46a5219d-454f-48da-ac29-c3fa17871c96","en","doujin-moe.us"
"6754c033-2ed3-4408-87cf-da27fb531792","en","Hakugyokukoumachireieienkan Scans"
"5d428109-4c8f-4d02-908d-923d45dd70eb","en","Tsuki Mirage"
"efff0b4e-e893-4690-a5f6-264a549b23ab","en","OneHallyu"
"198a9869-e386-4432-a513-3d42de3b3bbe","en","Ookiku Furikabutte"
"b2def6de-2728-44f8-8c0f-a307584159f7","en",""
"57228160-5d94-47b5-ad53-7f1d3a4c3fb4","en","Dark Shadow Scans"
"723e7ad7-f3be-46d8-ac84-e8f56115eb92","en","Jmcrap Translations"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Label /A/"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","The Anon"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Fuck you Readers!"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Fuck yeah Readers!"
"efd8e5ca-eef9-43c6-9a1a-d5199c43d758","en","FwPA"
"2eb5e2ec-7468-486a-8047-379749bcfdd0","en","JAnimeS"
"35d2b2eb-c29c-40d7-97f9-32f4d5827e25","en","Subapics"
"bf8c9e81-e186-4dd8-a141-dc60f8b3df4f","en","AnimParadise"
"548ab48d-7d9a-4c11-a25d-59e55544033e","en",""
"a5244562-391a-4623-87d8-1627db706dbf","en","Shitty Korean Translations"
"a42a5412-84f2-425b-ab2d-c2352bfb85b8","en","Manhua MD scans"
"1ed7150c-8da9-4221-a2df-0b1fbc17c05a","en","envykills"
"3b8e7407-28f2-4d8e-8105-8f09cb36a6a5","en","Jump-Scans"
"81e1f1ee-c8aa-4891-a61a-dd4ba0af7f12","en","HNI-Comeback"
"6b486092-255d-404e-afd3-d6d7abe3cfe5","en","Kuroi Raven"
"1ef6506b-0132-4f77-b013-30c54f84adb7","en","Taida Scans"
"cc1b7e4e-847c-4b7a-ba36-56494e0f45e6","en","deresutelines"
"e58231df-4d2e-413b-8ae1-936cfd9aba9b","en","The One Man Translation Team"
"ce001f43-b740-49ab-a77e-c8c229aa2fff","en","Editorial Hourai Doll"
"0a024510-1f88-4553-a745-65788cc3e763","en","QB"
"0a024510-1f88-4553-a745-65788cc3e763","en","NoNameTeam"
"a1fb1ce5-7899-42c0-a027-8733a8ca6811","en","MangaBox"
"43a13d2b-21d5-4453-ad78-cba547b7e879","en","mangacultivator"
"25444937-3129-4bcb-ab56-783325ac4d42","en","leaf translation"
"2184f123-bda1-42ac-8f9f-0f2cd9ad6ee7","en","Bebexiu Shoujo"
"56d19f79-fd13-48aa-9e04-606c5677a68f","en","10M Sacrifices"
"41d25f11-9813-4791-ae1a-1ac15561b313","en","Wiseman Scan"
"e94b9da2-19f9-4b67-b0ed-279c24e666ff","en","Jead & Locke Scans"
"1b5dc986-fe3b-4e3c-92da-0f7c4289e04c","en","Scanlation Obras Perdidas"
"a6c50173-6098-4ced-b3bb-074ca3ce2e4b","en","daburuwosagase"
"af7391f7-a6e1-4427-8281-f1cf0077ee69","en","Questionable Scans"
"d9a380da-a2be-4a74-9b1b-b2db9c0df927","en","FTV Scanlations"
"93af5c86-9286-4159-b485-e92fe60258e9","en","Unofficial Twstd"
"3a06804d-5758-4fbb-b96f-0fcaea1ae33b","en","Academia Manga Indonesia"
"b9425e45-7ba8-4ef0-b8da-672508716edc","en","KTS"
"fe0da9bc-fd70-4802-838e-eae609015e46","en","Getter-Robo"
"ad395d97-ab86-416a-b8ca-a4b03054443c","en","Soviet Scans"
"00f92fb2-fc3e-4e6d-8c05-8c98812928a0","en","Rototiller"
"3eae97b3-65e9-4956-b3fe-45d06a9ff785","en","Hayate Translation Team"
"76b9533d-7f24-47f9-bcd2-17e1ce927a9d","en","KiraKira-Boshi"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","DMP"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","DMI"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","Digital Manga"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","Inc."
"2cfd06bf-4746-469e-80a6-6dec4063482e","en","Whatever"
"867535aa-09a3-4182-9ec6-c6884e1fed6e","en","we got the glossy finish"
"43a6668b-eca9-4b76-bb95-f2d84fe650ee","en","EJ"
"43a6668b-eca9-4b76-bb95-f2d84fe650ee","en","Endless Journey Scans"
"85a18fd2-a16a-4aed-9aa2-38f96cdc0236","en","Manga-Presence Scans"
"768fcaab-a51f-409f-b8e1-2160dac76441","en","Scorpion1d3x"
"768fcaab-a51f-409f-b8e1-2160dac76441","en","Citrusteam"
"6ba04c4e-36d2-4e5d-b1a2-390a7656b24c","en","SlayeR ScanS"
"a560afd4-183b-402a-b321-f6858bfffb24","en","MangaVy"
"1864d8a3-1eb4-47d9-a068-feaa27ac30d3","en","Manga-ScanFrance"
"560e5a45-1abb-4df8-b3fa-df263946806d","en","Omari's Sister"
"560e5a45-1abb-4df8-b3fa-df263946806d","en","Bakeneko's Lair"
"e2f9d3e0-8239-424e-9a18-cf76f03d51d3","en","Trollscans"
