"group_id","lang_code"
"aeddb39d-3944-44d4-bc17-a2298421bfb5","en"
"482de43e-5d4d-4ada-be04-b4b6cc1f1af5","id"
"83cca3a0-d7de-4c14-8104-7fe9a72a3c93","en"
"fc3e0734-7e30-4323-8941-22c6f37affa7","en"
"88618418-6b0a-4d85-82f2-955561d812c0","es-la"
"1dfdae6a-95a5-4879-8135-bc0b36ba1c67","en"
"8f015ec1-9ae2-497e-9c7c-5f8fa2ec9950","en"
"67d20c71-5809-45e1-b932-177113d4f696","fr"
"a24c8d58-fa56-4547-9b6b-53d481e67414","uk"
"2c372fbf-c8b6-43c7-aedb-9eb8c2d5dbc2","es-la"
"6fb63e00-8803-495b-8ee7-90dd862e68ff","ru"
"09bde8d5-bca4-414c-b523-e0f639ddb8dc","en"
"a5351ff7-8c03-42ae-ac1a-6555ff1547b9","fr"
"83c227f1-72b1-40d7-b8fe-82cff60c341a","en"
"c7708c82-58f7-4de9-ba4b-b8f62002514c","es"
"7a07bb42-9bbe-4f6f-85a7-46c5c023fd7f","pt-br"
"e49adc0f-350b-4a2d-b702-7674d3efcdce","en"
"4f6ee153-e91d-4353-bc94-1f3ac72fab6b","ar"
"9816d25f-9f4c-4e8b-aef5-4e9fd62dbc33","en"
"96ff321a-44b9-4722-b542-f79d0c73898c","en"
"3b66985b-01d2-4205-8470-995a4b45d339","es-la"
"5eb42881-f115-4a0c-a369-dafc883cee4b","en"
"2fa77226-452a-4cd9-8521-6ebddafda476","es"
"3809eec5-996f-4295-9dc6-c5aae937be4f","en"
"d3d8cdd8-48c3-49fe-b0f1-33bbaae35452","en"
"ebee1df6-3ec4-40c0-9aed-a90fda33e7d9","es"
"b5a54dd7-a95f-4aca-bfa8-559462857c5e","ru"
"4dc089c4-e003-4691-8fa9-331abc38671b","en"
"5733e26c-15bc-4668-a633-76b2446bb151","pt-br"
"35650aec-0c85-41cb-8c49-c445747ed97d","pt-br"
"99a85858-7369-4c82-aeaf-9f7c0221b9dd","vi"
"a1248a59-37e8-429f-b87f-b5ad44535f6f","id"
"c17240b8-cb41-48f9-a669-4574d730b0dc","en"
"c06c6729-724f-42f4-8591-45b39f448387","uk"
"09ff101b-acb4-4400-be78-456fe41c103a","en"
"5b1c1e65-5079-4380-ba86-69357b4548fa","es-la"
"23d90965-bc78-4123-923d-aed4fb87e99d","en"
"b86c0d6b-f741-470b-ac39-f0e3e09abd1c","pt-br"
"9278b8e0-d984-44d6-87db-916cd41a737a","vi"
"e7b3f23d-d17d-4c84-893d-ca1ae2c2a724","en"
"57351fe9-991f-495c-b7ee-99f8bca5a43a","ru"
"bb7ed931-a26c-4fe1-9e96-619081be11c8","en"
"fe9504a1-93fa-4c57-8ed8-b7397a8e7528","id"
"4d62a1e8-618d-4330-b94e-c2a9c3cabb65","en"
"1dfd5782-6ab5-444f-b26c-30dcca186451","fi"
"1dfd5782-6ab5-444f-b26c-30dcca186451","ru"
"39b55b10-bca7-44c2-973e-870a07da4518","pt-br"
"9d7e9973-d1fe-40e1-945d-694d39561076","en"
"f0d42dbd-4ce2-4eee-9bfb-d6bf6cac168b","en"
"035d1aa1-292c-46d9-899a-a1ca92fb0ea3","en"
"a591ae91-5f1e-4f88-87f7-080fa9e924f8","es-la"
"00e7763b-a054-4647-a2bc-db2320525e3a","en"
"8cd94e85-41fd-4850-8736-5faa44cd012b","en"
"b1aee8af-5585-47d4-86f2-9650f7317c79","es-la"
"2e5cc32e-bb9e-43d1-bd64-fb44e7d5fcf6","es"
"e5a816df-66ae-4fc2-bc4e-2998f1ec43df","en"
"5a731015-9101-47ca-84b3-950d253e8497","pt-br"
"376dbf97-1777-4aa2-8c5a-0a97bc764596","fr"
"a159d458-768b-4cb9-8bab-361c3c5d1f16","en"
"146075d1-77da-428a-a72c-dc30aaf113e0","th"
"0b777315-a9cf-41aa-87ec-8bf0787e20d2","en"
"f95989ea-1222-4e66-b283-916e2bcbc7cb","en"
